Date: 03/05/2015	 Scientist Search 1.7
Data Retrieval Mode: medline, reflects file type source of PubMed data in following analysis.
Publication Type Selection: journal article, Affiliation Restriction: none, reflects search constraints of PubMed data in following analysis.
Keyword Mode Selection: none

Year: 1907	Pubs: 2110	IDs: 2110	CSV Author Pubs: 0	Medline Author Pubs: 1471
		PM Max: 1	PM Num: 1	CSV Max: 0	CSV Num: 0	Medline Max: 5	Medline Num: 5
		CSV IDs: 0	Medline IDs: 2110

Publication PubMed Count:<2110>
CSV Publications with Authors:<0>
Medline Publications with Authors:<1471>
Retracted Publications:<0>
Retractions Made:<0>
CSV Unique authors:<0>
Medline Unique authors:<1207>
Medline Unique short authors:<1207>
Medline Unique short first authors:<1100>
CSV Duplicate authors:<0>
Medline Duplicate authors:<253>
Medline Duplicate short authors:<253>
CSV Duplicate author publications:<0>
Medline Duplicate author publications:<683>
CSV Authors per publication:<0>
CSV APP max:<0>
CSV APP min:<0>
CSV APP var:<0>
Medline Authors per publication:<1.11284840244731>
Medline APP max:<5>
Medline APP min:<1>
Medline APP var:<0.136823361790447>
Unique Journal Titles:<17>
Unique Short Journal Titles:<17>
Medline Publications per unique author:	1.74813587406794
Medline Duplicate publications per duplicate author:	2.699604743083
Medline Duplicate authors / Unique authors	0.209610604805302


*****JOURNAL PUB FREQUENCIES*****
631	british medical journal
532	science (new york, ny)
252	california state journal of medicine
186	annals of surgery
56	the journal of medical research
52	public health reports
50	the journal of hygiene
48	the journal of experimental medicine
46	journal of anatomy and physiology
41	american journal of public hygiene
40	the journal of physiology
35	the biochemical journal
33	public health papers and reports
28	medical library and historical journal
28	transactions of the american ophthalmological society
26	medico-chirurgical transactions
26	transactions of the american climatological association for the year  american

*****KEYWORDS LIST*****

*****KEYWORDS FREQUENCIES*****
<>

*****CSV PUBMED AUTHOR FREQUENCIES*****

*****CSV PUBMED PUB FREQUENCIES*****
<>

*****MEDLINE PUBMED AUTHOR FREQUENCIES*****
25	d, w m
17	ward, r d
10	bessey, c e
7	kress, g h
7	hill, h w
6	smith, g e
6	walker, g
5	pearce, r m
5	rogers, l
5	j, d w
5	buxton, b h
5	jackson, h c
5	chapin, c v
5	weston, r s
5	spillman, w j
5	tyzzer, e e
5	barus, c
5	noguchi, h
4	teague, o
4	maury, j w
4	gay, f p
4	flexner, s
4	kirkaldy, g w
4	robinson, f c
4	wilson, w j
4	forsyth, d
4	lucas, k
4	opie, e l
4	b, i
4	cockerell, t d
4	allen, j a
4	bailey, s i
4	hoisholt, a w
4	gies, w j
4	howard, l o
4	stone, w
4	hunter, w
4	drabble, e
4	jacoby, h
3	duval, c w
3	cowie, d m
3	craw, j a
3	derry, d e
3	schaeberle, j m
3	keen, w w
3	warbasse, j p
3	moynihan, b g
3	tracy, m
3	shull, g h
3	rosenheim, o
3	watkins, j t
3	keith, a
3	gill, t
3	lane, a c
3	wilson, t m
3	duckworth, w l
3	savage, g h
3	stiles, p g
3	todd, j l
3	hutchinson, j
3	watson, c
3	robson, a w
3	maclean, h
3	jones, p m
3	cathcart, e p
3	barling, g
3	chapin, w s
3	symmers, w s
3	hewlett, a w
3	lewis, t
3	williams, o t
3	kilvington, b
3	tombo, r jr
3	ledingham, j c
3	simmons, c c
3	osborne, w a
3	corner, e m
2	pollard, b
2	munro, j c
2	bather, f a
2	mccormack, a t
2	austin, a e
2	castle, w e
2	coffey, r c
2	herrick, c j
2	hargitt, c w
2	banks, n
2	hart, d b
2	spaulding, p
2	waters, c e
2	rickards, b r
2	cramer, w
2	hilgard, e w
2	field, c w
2	stiles, c w
2	smith, w r
2	huntington, t w
2	maccurdy, g g
2	elliston, g
2	mendel, l b
2	fisher, i
2	marshall, f h
2	doremus, c g
2	greenough, r b
2	porter, l
2	waterston, d
2	risley, s d
2	eve, f
2	c, t d
2	girault, a a
2	bateson, w
2	russell, r h
2	barr, j
2	clarke, t w
2	currie, j r
2	jordan, d s
2	hinsdale, g
2	ashhurst, a p
2	buerger, l
2	reed, b
2	comstock, d f
2	lillie, f r
2	mann, c r
2	frazier, c h
2	butlin, h t
2	cameron, j
2	arkwright, j a
2	rivas, d
2	hewlett, r t
2	moore, v a
2	broadbent, w h
2	malcolm, j d
2	leiper, r t
2	mayo, w j
2	graham-smith, g s
2	hedin, s g
2	smith, j b
2	gossage, a m
2	wells, h g
2	cowen, g h
2	hobbs, w h
2	roaf, h e
2	leggett, n b
2	halliburton, w d
2	bainbridge, f a
2	holst, a
2	fisher, j w
2	evans, h m
2	gorham, f p
2	mursell, h t
2	cheesman, w s
2	mcatee, w l
2	scudder, c l
2	rankin, g
2	smith, t
2	fisher, c p
2	kramer, s p
2	gager, c s
2	dorsey, g a
2	tingle, j b
2	weil, r
2	wesbrook, f f
2	barcroft, j
2	rolleston, h d
2	mattison, f c
2	johnston, h m
2	wellman, f c
2	goodall, e w
2	jacobson, a c
2	cumpston, h
2	ortmann, a e
2	meltzer, s j
2	loew, o
2	davenport, c b
2	greenwood, m
2	ryfkogel, h a
2	eggers, c
2	mellanby, j
2	liceaga, e
2	robinson, h b
2	evans, g h
2	hovey, e o
2	pringle, j h
2	oliver, c a
2	bond, c j
2	carwardine, t
2	marshall, w e
2	riley, w a
2	montgomery, d w
2	somers, g b
2	leathes, j b
2	cook, o f
2	brown, a e
2	jackson, e
2	whiteford, c h
2	eichelberger, w s
2	sweet, j e
2	guyer, m f
2	barbour, e h
2	gordon, c h
2	drabble, h
2	scott, d g
2	castellani, a
2	edie, e s
2	sherman, h m
2	barney, j d
2	sewall, e c
2	baekeland, l h
2	mines, g r
2	jacobson, n
2	spalding, a b
2	coley, w b
2	hurtley, w h
2	egdahl, a
2	halsted, w s
2	dixon, w e
2	osborn, h f
2	beddard, a p
2	mcconnell, g
2	de schweinitz, g e
2	a, c
2	gibbon, j h
2	wilson, e b
2	coquillett, d w
2	cuff, a
2	humphreys, w j
2	mummery, p l
2	bardswell, n
2	hall, i w
2	de forest, h p
2	southard, e e
2	pembrey, m s
2	parsons, c l
2	snell, s
2	mcmurtrie, w
2	curtin, r g
2	miller, g a
2	cunningham, h h
2	wilson, t s
2	yorke, w
2	taylor, f
2	lambert, w e
2	garrod, a e
2	moore, b
2	stone, j s
2	torrey, j c
2	stevens, f l
2	smith, e f
2	nierenstein, m
2	christian, h a
2	gulliver, f p
2	brown, p k
2	watson, f s
1	parker, r
1	staehlin, e
1	ayer, j b
1	mcgavin, l
1	slaught, h e
1	james, w
1	bearn, a r
1	rushmore, j d
1	jones, j w
1	menzies, j a
1	alcock, n h
1	garrey, w e
1	curry, b e
1	mcdonald, e
1	rehn, j a
1	holt, m p
1	hassler, w c
1	anders, h s
1	eaton, g l
1	hartley, f
1	bridge
1	cannaday, j e
1	bloodgood, j c
1	newton, r c
1	deaver, j b
1	sumner, f b
1	higgs, f w
1	smith, j h
1	willis, w m
1	gardner, h b
1	branch, c w
1	walcott, h p
1	bradley, j c
1	payne, g a
1	evatt, e j
1	pruneda, a
1	thomson, j
1	magruder, w t
1	spence, d
1	heron, d
1	boas, f
1	phillips, s
1	park, w h
1	elliott, t r
1	blair, j c
1	maclennan, w
1	perry, a w
1	atkinson, e w
1	pease, h d
1	mitchell, h
1	mann, j d
1	stoddart, w h
1	jordan, j f
1	de souza, d h
1	carlier, e w
1	baer, w s
1	peters, o h
1	porter, c a
1	greaves, f l
1	fremont-smith
1	fulton, j s
1	dawbarn, r h
1	evans, a j
1	wherry, w b
1	mast, s o
1	cabot, a t
1	starr, f n
1	ovenden, e g
1	voelcker, a f
1	kelly, j m
1	nyulasy, f a
1	howe, l
1	biggs, h m
1	baird, j w
1	belfield, w t
1	vanderveer, e a
1	brown, b
1	arnold, g j
1	jones, j a
1	cole, l j
1	dawson, p m
1	ward, a r
1	blake, w p
1	bassett-smith, p w
1	bok, e
1	raymond, p e
1	cunningham, j h
1	rice, w n
1	davis, b b
1	peters, a
1	childe, c p
1	dunlap, k
1	hunt, j h
1	stewart, f t
1	hill, r t
1	heath, c j
1	taussig, f j
1	woolley, v j
1	hubbell, a a
1	vance, j
1	capes, r
1	oliver, j
1	madsen, t
1	stark, j n
1	weaver, a e
1	s, g m
1	peterkin, g s
1	kenyon, c g
1	mcmurrich, j p
1	parsons, j h
1	oliva, a
1	goldberg, h g
1	brown, r m
1	west, s
1	dobson, m e
1	balch, e s
