Date: 03/08/2015	 Scientist Search 1.7
Data Retrieval Mode: medline, reflects file type source of PubMed data in following analysis.
Publication Type Selection: journal article, Affiliation Restriction: none, reflects search constraints of PubMed data in following analysis.
Keyword Mode Selection: none
Authors per Publication output type: summary

Year,Q0,Q1,Q2,Q2,Q2,Q3,Q4,Mean,Count,Sum,Variance
1809,1,1,1,1,1,1,1,1,20,20,0
1810,
1811,1,1,1,1,1,1,1,1,27,27,0
1812,1,1,1,1,1,1,1,1,21,21,0
1813,1,1,1,1,1,1,1,1,23,23,0
1814,1,1,1,1,1,1,1,1,27,27,0
1815,1,1,1,1,1,1,2,1.03846153846154,26,27,0.0369822485207099
1816,1,1,1,1,1,1,1,1,39,39,0
1817,1,1,1,1,1,1,1,1,21,21,0
1818,1,1,1,1,1,1,1,1,29,29,0
1819,1,1,1,1,1,1,1,1,28,28,0
1820,
1821,1,1,1,1,1,1,1,1,30,30,0
1822,
1823,1,1,1,1,1,1,1,1,46,46,0
1824,
1825,
1826,
1827,1,1,1,1,1,1,2,1.04761904761905,42,44,0.0453514739229024
1828,1,1,1,1,1,1,2,1.2,10,12,0.16
1829,1,1,1,1,1,1,1,1,10,10,0
1830,
1831,1,1,1,1,1,1,1,1,21,21,0
1832,1,1,1,1,1,1,1,1,16,16,0
1833,1,1,1,1,1,1,1,1,13,13,0
1834,
1835,1,1,1,1,1,1,1,1,20,20,0
1836,
1837,1,1,1,1,1,1,2,1.0625,16,17,0.05859375
1838,1,1,1,1,1,1,2,1.04166666666667,24,25,0.0399305555555554
1839,1,1,1,1,1,1,2,1.04347826086957,23,24,0.0415879017013232
1840,1,1,1,1,1,1,6,1.14942528735632,87,100,0.425947945567446
1841,1,1,1,1,1,1,2,1.02250803858521,311,318,0.0220014267842557
1842,1,1,1,1,1,1,7,1.04347826086957,368,384,0.144848771266541
1843,1,1,1,1,1,1,5,1.03289473684211,304,314,0.0712863573407201
1844,1,1,1,1,1,1,4,1.018779342723,213,217,0.0465956930944036
1845,1,1,1,1,1,1,2,1.05202312138728,173,182,0.0493167162284072
1846,1,1,1,1,1,1,1,1,149,149,0
1847,1,1,1,1,1,1,2,1.01449275362319,138,140,0.0142827137156059
1848,1,1,1,1,1,1,2,1.016,125,127,0.015744
1849,1,1,1,1,1,1,1,1,104,104,0
1850,1,1,1,1,1,1,2,1.00892857142857,112,113,0.00884885204081631
1851,1,1,1,1,1,1,2,1.0650406504065,123,131,0.0608103642012032
1852,1,1,1,1,1,1,1,1,145,145,0
1853,1,1,1,1,1,1,1,1,120,120,0
1854,1,1,1,1,1,1,2,1.06666666666667,15,16,0.0622222222222222
1855,1,1,1,1,1,1,1,1,48,48,0
1856,1,1,1,1,1,1,2,1.024,125,128,0.0234240000000001
1857,1,1,1,1,1,1,1,1,55,55,0
1858,1,1,1,1,1,1,1,1,51,51,0
1859,1,1,1,1,1,1,1,1,70,70,0
1860,1,1,1,1,1,1,1,1,95,95,0
1861,1,1,1,1,1,1,1,1,89,89,0
1862,1,1,1,1,1,1,1,1,93,93,0
1863,1,1,1,1,1,1,1,1,86,86,0
1864,1,1,1,1,1,1,2,1.01204819277108,83,84,0.0119030338220352
1865,1,1,1,1,1,1,2,1.01612903225806,62,63,0.0158688865764829
1866,1,1,1,1,1,1,1,1,73,73,0
1867,1,1,1,1,1,1,2,1.03030303030303,264,272,0.0293847566574839
1868,1,1,1,1,1,1,3,1.0406976744186,344,358,0.0622971876690102
1869,1,1,1,1,1,1,3,1.03191489361702,282,291,0.045080730345556
1870,1,1,1,1,1,1,3,1.02027027027027,296,302,0.0266161431701974
1871,1,1,1,1,1,1,3,1.01420454545455,352,357,0.0196845945247934
1872,1,1,1,1,1,1,4,1.01808785529716,387,394,0.0332645607568987
1873,1,1,1,1,1,1,2,1.00681818181818,440,443,0.00677169421487611
1874,1,1,1,1,1,1,2,1.01396648044693,358,363,0.013771417870853
1875,1,1,1,1,1,1,2,1.02072538860104,386,394,0.020295846868372
1876,1,1,1,1,1,1,2,1.03030303030303,396,408,0.0293847566574839
1877,1,1,1,1,1,1,3,1.05382436260623,353,372,0.0622587453554722
1878,1,1,1,1,1,1,3,1.04585152838428,458,479,0.0481159779561793
1879,1,1,1,1,1,1,3,1.05504587155963,436,460,0.0703644474370846
1880,1,1,1,1,1,1,8,1.04241435562806,613,639,0.112393518358353
1881,1,1,1,1,1,1,6,1.03328509406657,691,714,0.0842756046837467
1882,1,1,1,1,1,1,7,1.0763358778626,393,423,0.187557057669522
1883,1,1,1,1,1,1,3,1.02005012531328,798,814,0.0221543834523652
1884,1,1,1,1,1,1,3,1.01779755283648,899,915,0.0219301881586391
1885,1,1,1,1,1,1,2,1.01307189542484,918,930,0.0129010209748388
1886,1,1,1,1,1,1,4,1.02916274694262,1063,1094,0.0414825539461703
1887,1,1,1,1,1,1,7,1.02448579823702,1021,1046,0.0552280656651072
1888,1,1,1,1,1,1,5,1.06167979002625,762,809,0.107744159932764
1889,1,1,1,1,1,1,4,1.05783866057839,657,695,0.0758023301339743
1890,1,1,1,1,1,1,3,1.05952380952381,672,712,0.0649092970521541
1891,1,1,1,1,1,1,5,1.06153846153846,650,690,0.0792899408284022
1892,1,1,1,1,1,1,4,1.03700097370983,1027,1065,0.0531586786748066
1893,1,1,1,1,1,1,5,1.03888419273035,1183,1229,0.0576596171888455
1894,1,1,1,1,1,1,3,1.05467625899281,695,733,0.0574421613788105
1895,1,1,1,1,1,1,12,1.07200811359026,986,1057,0.204753979650194
1896,1,1,1,1,1,1,6,1.05867560771165,1193,1263,0.0753501319867431
1897,1,1,1,1,1,1,7,1.10215053763441,1302,1435,0.188489998843797
1898,1,1,1,1,1,1,8,1.07890365448505,1204,1299,0.157395475767375
1899,1,1,1,1,1,1,14,1.07981651376147,1090,1177,0.277115562663075
1900,1,1,1,1,1,1,9,1.09420289855072,1104,1208,0.219386683469859
1901,1,1,1,1,1,1,37,1.15763945028294,1237,1432,1.41330663475734
1902,1,1,1,1,1,1,11,1.12563667232598,1178,1326,0.369614407891133
1903,1,1,1,1,1,1,5,1.10108024691358,1296,1427,0.135616117017223
1904,1,1,1,1,1,1,14,1.12755519215045,1223,1379,0.314064914165601
1905,1,1,1,1,1,1,15,1.12932226832642,1446,1633,0.421035087014495
1906,1,1,1,1,1,1,6,1.10692254969157,1459,1615,0.146209789066563
1907,1,1,1,1,1,1,5,1.11284840244731,1471,1637,0.136823361790446
