Date: 03/08/2015	 Scientist Search 1.7
Data Retrieval Mode: medline, reflects file type source of PubMed data in following analysis.
Publication Type Selection: journal article, Affiliation Restriction: none, reflects search constraints of PubMed data in following analysis.
Keyword Mode Selection: none

Year	PubMed Result Count	Authored Publications	Unique Author No.	Unique Short Author No.	Duplicate Author No.	Duplicate Short Author No.	Duplicate Author Publications	Retracted Pubs	Retractions Made	Unique Journals	Unique Short Journals	Authors Per Publication	APP Max	APP Min	 APP Var	Unique First Authors
1809	22	20	18	18	2	2	4	0	0	1	1	1	1	1	0	18
1810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1811	33	27	24	24	3	3	6	0	0	1	1	1	1	1	0	24
1812	24	21	16	16	4	4	9	0	0	1	1	1	1	1	0	16
1813	27	23	18	18	5	5	10	0	0	1	1	1	1	1	0	18
1814	29	27	25	25	2	2	4	0	0	1	1	1	1	1	0	25
1815	29	26	25	25	1	1	3	0	0	1	1	1.03846153846154	2	1	0.03698224852071	24
1816	43	39	32	32	5	5	12	0	0	1	1	1	1	1	0	32
1817	25	21	19	19	2	2	4	0	0	1	1	1	1	1	0	19
1818	33	29	29	29	0	0	0	0	0	1	1	1	1	1	0	29
1819	31	28	25	25	3	3	6	0	0	1	1	1	1	1	0	25
1820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1821	35	30	24	24	5	5	11	0	0	1	1	1	1	1	0	24
1822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1823	51	46	40	40	4	4	10	0	0	1	1	1	1	1	0	40
1824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1827	46	42	37	37	5	5	12	0	0	1	1	1.04761904761905	2	1	0.0453514739229025	35
1828	14	10	10	10	2	2	4	0	0	1	1	1.2	2	1	0.16	9
1829	14	10	9	9	1	1	2	0	0	1	1	1	1	1	0	9
1830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1831	21	21	19	19	2	2	4	0	0	1	1	1	1	1	0	19
1832	17	16	15	15	1	1	2	0	0	1	1	1	1	1	0	15
1833	13	13	10	10	3	3	6	0	0	1	1	1	1	1	0	10
1834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1835	21	20	14	14	4	4	10	0	0	1	1	1	1	1	0	14
1836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1837	18	16	16	16	1	1	2	0	0	1	1	1.0625	2	1	0.05859375	15
1838	25	24	23	23	2	2	4	0	0	1	1	1.04166666666667	2	1	0.0399305555555556	22
1839	24	23	22	22	2	2	4	0	0	1	1	1.04347826086957	2	1	0.0415879017013233	21
1840	146	87	77	77	16	16	39	0	0	2	2	1.14942528735632	6	1	0.425947945567445	67
1841	526	311	173	173	43	43	188	0	0	2	2	1.02250803858521	2	1	0.0220014267842558	168
1842	662	368	243	243	61	61	202	0	0	3	3	1.04347826086957	7	1	0.144848771266541	228
1843	564	304	219	219	41	41	136	0	0	2	2	1.03289473684211	5	1	0.0712863573407208	209
1844	339	213	146	146	39	39	110	0	0	3	3	1.018779342723	4	1	0.0465956930944038	143
1845	280	173	113	113	24	24	93	0	0	2	2	1.05202312138728	2	1	0.0493167162284072	110
1846	279	149	89	89	29	29	89	0	0	2	2	1	1	1	0	89
1847	241	138	90	90	26	26	76	0	0	2	2	1.01449275362319	2	1	0.014282713715606	88
1848	245	125	80	80	16	16	63	0	0	2	2	1.016	2	1	0.015744	79
1849	211	104	63	63	17	17	58	0	0	3	3	1	1	1	0	63
1850	215	112	79	79	14	14	48	0	0	3	3	1.00892857142857	2	1	0.00884885204081633	79
1851	233	123	81	81	19	19	69	0	0	3	3	1.0650406504065	2	1	0.0608103642012029	79
1852	237	145	110	110	17	17	52	0	0	3	3	1	1	1	0	110
1853	230	120	98	98	15	15	37	0	0	2	2	1	1	1	0	98
1854	140	15	15	15	1	1	2	0	0	2	2	1.06666666666667	2	1	0.0622222222222222	14
1855	178	48	36	36	9	9	21	0	0	2	2	1	1	1	0	36
1856	249	125	62	62	25	25	91	0	0	2	2	1.024	2	1	0.023424	59
1857	257	55	30	30	10	10	35	0	0	2	2	1	1	1	0	30
1858	235	51	35	35	7	7	23	0	0	2	2	1	1	1	0	35
1859	223	70	40	40	9	9	39	0	0	2	2	1	1	1	0	40
1860	169	95	36	36	11	11	70	0	0	2	2	1	1	1	0	36
1861	202	89	37	37	14	14	66	0	0	2	2	1	1	1	0	37
1862	191	93	38	38	14	14	69	0	0	2	2	1	1	1	0	38
1863	169	86	39	39	15	15	62	0	0	2	2	1	1	1	0	39
1864	159	83	40	40	11	11	55	0	0	2	2	1.01204819277108	2	1	0.0119030338220351	39
1865	134	62	43	43	6	6	26	0	0	3	3	1.01612903225806	2	1	0.0158688865764828	42
1866	144	73	44	44	7	7	36	0	0	3	3	1	1	1	0	44
1867	366	264	189	189	48	48	131	0	0	3	3	1.03030303030303	2	1	0.029384756657484	184
1868	513	344	221	221	73	73	210	0	0	4	4	1.0406976744186	3	1	0.0622971876690101	216
1869	423	282	203	203	47	47	135	0	0	4	4	1.03191489361702	3	1	0.0450807303455562	199
1870	428	296	207	207	48	48	143	0	0	4	4	1.02027027027027	3	1	0.0266161431701974	204
1871	489	352	230	230	61	61	188	0	0	4	4	1.01420454545455	3	1	0.0196845945247935	227
1872	494	387	258	258	72	72	208	0	0	3	3	1.01808785529716	4	1	0.0332645607568992	255
1873	568	440	306	306	71	71	208	0	0	5	5	1.00681818181818	2	1	0.00677169421487604	304
1874	457	358	238	238	62	62	187	0	0	4	4	1.01396648044693	2	1	0.0137714178708529	234
1875	459	386	293	293	54	54	155	0	0	5	5	1.02072538860104	2	1	0.0202958468683722	289
1876	451	396	291	291	63	63	180	0	0	4	4	1.03030303030303	2	1	0.029384756657484	285
1877	395	353	253	253	67	67	186	0	0	3	3	1.05382436260623	3	1	0.062258745355472	245
1878	511	458	345	345	73	73	207	0	0	7	7	1.04585152838428	3	1	0.0481159779561795	334
1879	504	436	321	321	82	82	221	0	0	6	6	1.05504587155963	3	1	0.0703644474370841	310
1880	819	613	469	469	97	97	267	0	0	7	7	1.04241435562806	8	1	0.112393518358353	449
1881	945	691	488	488	122	122	348	0	0	7	7	1.03328509406657	6	1	0.0842756046837466	473
1882	506	393	325	325	67	67	165	0	0	6	6	1.0763358778626	7	1	0.187557057669522	299
1883	1166	798	547	547	131	131	398	0	0	7	7	1.02005012531328	3	1	0.0221543834523654	534
1884	1345	899	629	629	161	161	447	0	0	8	8	1.01779755283648	3	1	0.0219301881586387	620
1885	1466	918	618	618	161	161	473	0	0	8	8	1.01307189542484	2	1	0.0129010209748386	610
1886	1497	1063	732	732	180	180	542	0	0	9	9	1.02916274694262	4	1	0.0414825539461704	711
1887	1468	1021	711	711	182	182	517	0	0	10	10	1.02448579823702	7	1	0.0552280656651087	694
1888	1253	762	590	590	129	129	348	0	0	10	10	1.06167979002625	5	1	0.107744159932765	555
1889	1590	657	519	519	96	96	272	0	0	10	10	1.05783866057839	4	1	0.0758023301339739	492
1890	1093	672	487	487	121	121	346	0	0	9	9	1.05952380952381	3	1	0.0649092970521538	459
1891	976	650	495	495	96	96	291	0	0	11	11	1.06153846153846	5	1	0.0792899408284023	465
1892	1449	1027	784	784	159	159	440	0	0	11	11	1.03700097370983	4	1	0.0531586786748063	751
1893	1694	1183	889	889	197	197	537	0	0	10	10	1.03888419273035	5	1	0.0576596171888455	852
1894	1214	695	569	569	103	103	267	0	0	9	9	1.05467625899281	3	1	0.0574421613788108	544
1895	1578	986	743	743	163	163	477	0	0	11	11	1.07200811359026	12	1	0.204753979650193	696
1896	1858	1193	857	855	196	198	602	0	0	13	13	1.05867560771165	6	1	0.0753501319867413	807
1897	1945	1302	973	967	226	229	688	0	0	13	13	1.10215053763441	7	1	0.188489998843803	874
1898	1918	1204	880	874	199	200	618	0	0	14	14	1.07890365448505	8	1	0.157395475767373	803
1899	1584	1090	866	858	177	178	488	0	0	14	14	1.07981651376147	14	1	0.277115562663081	793
