Date: 03/07/2015	 Scientist Search 1.7
Data Retrieval Mode: medline, reflects file type source of PubMed data in following analysis.
Publication Type Selection: journal article, Affiliation Restriction: USA, reflects search constraints of PubMed data in following analysis.
Keyword Mode Selection: none

Year: 1991	Pubs: 1810	IDs: 1810	CSV Author Pubs: 0	Medline Author Pubs: 1809
		PM Max: 1	PM Num: 1	CSV Max: 0	CSV Num: 0	Medline Max: 4	Medline Num: 4
		CSV IDs: 0	Medline IDs: 1810

Publication PubMed Count:<1810>
CSV Publications with Authors:<0>
Medline Publications with Authors:<1809>
Retracted Publications:<0>
Retractions Made:<0>
CSV Unique authors:<0>
Medline Unique authors:<4169>
Medline Unique short authors:<4158>
Medline Unique short first authors:<1688>
CSV Duplicate authors:<0>
Medline Duplicate authors:<361>
Medline Duplicate short authors:<369>
CSV Duplicate author publications:<0>
Medline Duplicate author publications:<849>
CSV Authors per publication:<0>
CSV APP max:<0>
CSV APP min:<0>
CSV APP var:<0>
Medline Authors per publication:<2.57435046987286>
Medline APP max:<11>
Medline APP min:<1>
Medline APP var:<2.39593690536321>
Unique Journal Titles:<234>
Unique Short Journal Titles:<234>
Medline Publications per unique author:	0.434156872151595
Medline Duplicate publications per duplicate author:	2.35180055401662
Medline Duplicate authors / Unique authors	0.0865915087550971


*****JOURNAL PUB FREQUENCIES*****
137	biotechnology and bioengineering
92	tag theoretical and applied genetics theoretische und angewandte genetik
74	current biology : cb
69	proceedings of the national academy of sciences of the united states of america
66	theriogenology
62	planta
58	plant cell reports
50	trends in cardiovascular medicine
49	molecular and cellular neurosciences
40	trends in ecology & evolution
40	obesity surgery
39	tree physiology
34	journal of the american society for mass spectrometry
33	academic psychiatry : the journal of the american association of directors of
26	behavioural pharmacology
26	convulsive therapy
26	archives of clinical neuropsychology : the official journal of the national
24	environmental pollution (barking, essex : 1987)
24	parasitology today (personal ed)
23	arthritis care and research : the official journal of the arthritis health
21	trends in endocrinology and metabolism: tem
21	photosynthesis research
20	journal of neurosurgical anesthesiology
20	journal of neuroendocrinology
19	journal of personality assessment
19	toxicology in vitro : an international journal published in association with
19	environmental monitoring and assessment
18	waste management & research : the journal of the international solid wastes and
18	journal of aging & social policy
18	trends in cell biology
17	microbial ecology
17	ultrasound in obstetrics & gynecology : the official journal of the international
16	journal of motor behavior
16	the journal of neuropsychiatry and clinical neurosciences
16	immunohematology / american red cross
15	the behavior analyst / maba
13	journal of psychopharmacology (oxford, england)
12	nida research monograph
12	veterinary surgery : vs
12	applied ergonomics
12	icarus
12	talanta
11	optics letters
11	the journal of investigative dermatology
11	the journal of automatic chemistry
10	the astrophysical journal
9	avian pathology : journal of the wvpa
9	international journal of neurology
8	journal of molecular evolution
8	behavioural processes
8	tissue & cell
8	plant physiology
8	disasters
8	antimicrobial agents and chemotherapy
7	journal of cardiovascular pharmacology
7	meat science
7	biophysical journal
6	the european journal of neuroscience
6	biotechnology advances
6	america
6	clinical biomechanics (bristol, avon)
6	drug and alcohol review
5	international journal of obstetric anesthesia
5	european journal of protistology
5	the canadian journal of infectious diseases = journal canadien des maladies
5	fish physiology and biochemistry
5	acta astronautica
5	the journal of chemical physics
5	archives of virology supplementum
5	science (new york, ny)
5	biophysical chemistry
5	world journal of microbiology & biotechnology
4	annals of saudi medicine
4	systematic and applied microbiology
4	cancer communications
4	nature
4	journal of religion and health
4	behavioural neurology
4	mycotoxin research
4	journal of youth and adolescence
4	annual review of psychology
3	journal of geophysical research
3	hpb surgery : a world journal of hepatic, pancreatic and biliary surgery
3	biological trace element research
3	leukemia & lymphoma
3	origins
3	the international journal of applied philosophy
3	caduceus (springfield, ill)
3	environmental geochemistry and health
3	the georgetown journal of legal ethics
3	journal of chemical ecology
3	astronomy and astrophysics
3	global and planetary change
3	international journal of antimicrobial agents
2	paleobiology
2	midwest medical ethics : a publication of the midwest bioethics center
2	new scientist (1971)
2	ieee transactions on ultrasonics, ferroelectrics, and frequency control
2	amino acids
2	earth and planetary science letters
2	iarc scientific publications
2	medicina nei secoli
2	criminal law bulletin
2	transfusion medicine (oxford, england)
2	journal of electromyography and kinesiology : official journal of the
2	clinical linguistics & phonetics
2	human research report
2	the british journal of psychiatry : the journal of mental science
2	life science advances
2	journal of the american society for horticultural science american society for
2	cell regulation
2	the journal of clinical investigation
2	geophysical research letters
2	journal of paleontology
2	the journal of lithotripsy & stone disease
2	journal of applied physics
2	houston law review / university of houston
2	journal of gambling studies / co-sponsored by the national council on problem
2	healthy people 2000 statistical notes / national center for health statistics
2	the international journal of aviation psychology
2	journal of chemotherapy (florence, italy)
2	journal of occupational rehabilitation
2	in health
